"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2020","3,225.50","3,244.70","3,337.80","3,214.60","","-0.16%"
"12/01/2019","3,230.80","3,143.80","3,247.90","3,070.30","","2.86%"
"11/01/2019","3,141.00","3,050.70","3,154.30","3,050.70","","3.40%"
"10/01/2019","3,037.60","2,983.70","3,050.10","2,855.90","","2.05%"
"09/01/2019","2,976.70","2,909.00","3,022.00","2,891.80","","1.72%"
"08/01/2019","2,926.50","2,980.30","3,013.60","2,822.10","","-1.81%"
"07/01/2019","2,980.40","2,971.40","3,028.00","2,952.20","","1.31%"
"06/01/2019","2,941.80","2,751.50","2,964.20","2,728.80","","6.89%"
"05/01/2019","2,752.10","2,952.30","2,954.10","2,750.50","","-6.58%"
"04/01/2019","2,945.80","2,848.60","2,949.50","2,848.60","","3.93%"
"03/01/2019","2,834.40","2,798.20","2,860.30","2,722.30","","1.79%"
"02/01/2019","2,784.50","2,702.30","2,813.50","2,681.80","","2.97%"
"01/01/2019","2,704.10","2,477.00","2,708.90","2,444.00","","7.87%"
"12/01/2018","2,506.80","2,790.50","2,800.20","2,346.60","","-9.18%"
"11/01/2018","2,760.20","2,717.60","2,815.20","2,631.10","","1.79%"
"10/01/2018","2,711.70","2,926.30","2,939.90","2,603.50","","-6.94%"
"09/01/2018","2,914.00","2,897.00","2,940.90","2,864.10","","0.43%"
"08/01/2018","2,901.50","2,821.20","2,916.50","2,796.30","","3.03%"
"07/01/2018","2,816.30","2,704.90","2,848.00","2,698.90","","3.60%"
"06/01/2018","2,718.40","2,718.70","2,791.50","2,692.00","","0.48%"
"05/01/2018","2,705.30","2,643.60","2,742.20","2,594.60","","2.16%"
"04/01/2018","2,648.10","2,633.40","2,717.50","2,553.80","","0.27%"
"03/01/2018","2,640.90","2,715.20","2,801.90","2,585.90","","-2.69%"
"02/01/2018","2,713.80","2,816.40","2,836.00","2,532.70","","-3.90%"
"01/01/2018","2,823.80","2,683.70","2,872.90","2,682.40","","5.62%"
"12/01/2017","2,673.60","2,645.10","2,695.00","2,605.50","","0.98%"
"11/01/2017","2,647.60","2,583.20","2,657.70","2,557.40","","2.81%"
"10/01/2017","2,575.30","2,521.20","2,583.00","2,520.40","","2.22%"
"09/01/2017","2,519.40","2,474.40","2,519.40","2,446.60","","1.93%"
"08/01/2017","2,471.70","2,477.10","2,490.90","2,417.30","","0.06%"
"07/01/2017","2,470.30","2,431.40","2,484.00","2,407.70","","1.94%"
"06/01/2017","2,423.40","2,415.70","2,453.80","2,405.70","","0.48%"
"05/01/2017","2,411.80","2,388.50","2,418.70","2,352.70","","1.16%"
"04/01/2017","2,384.20","2,362.30","2,398.20","2,328.90","","0.91%"
"03/01/2017","2,362.70","2,380.10","2,401.00","2,322.20","","-0.04%"
"02/01/2017","2,363.60","2,285.60","2,371.50","2,271.70","","3.72%"
"01/01/2017","2,278.90","2,251.60","2,301.00","2,245.10","","1.79%"
"12/01/2016","2,238.80","2,200.20","2,277.50","2,187.40","","1.82%"
"11/01/2016","2,198.80","2,128.70","2,214.10","2,083.80","","3.41%"
"10/01/2016","2,126.20","2,164.30","2,169.60","2,114.70","","-1.94%"
"09/01/2016","2,168.30","2,171.30","2,187.90","2,119.10","","-0.12%"
"08/01/2016","2,170.90","2,173.20","2,193.80","2,147.60","","-0.12%"
"07/01/2016","2,173.60","2,099.30","2,177.10","2,074.00","","3.56%"
"06/01/2016","2,098.90","2,093.90","2,120.60","1,991.70","","0.09%"
"05/01/2016","2,097.00","2,067.20","2,103.50","2,025.90","","1.53%"
"04/01/2016","2,065.30","2,056.60","2,111.10","2,033.80","","0.27%"
"03/01/2016","2,059.70","1,937.10","2,072.20","1,937.10","","6.60%"
"02/01/2016","1,932.20","1,936.90","1,963.00","1,810.10","","-0.41%"
"01/01/2016","1,940.20","2,038.20","2,038.20","1,812.30","","-5.07%"
"12/01/2015","2,043.90","2,082.90","2,104.30","1,993.30","","-1.75%"
"11/01/2015","2,080.40","2,080.80","2,116.50","2,019.40","","0.05%"
"10/01/2015","2,079.40","1,919.70","2,094.30","1,893.70","","8.30%"
"09/01/2015","1,920.00","1,970.10","2,020.90","1,871.90","","-2.65%"
"08/01/2015","1,972.20","2,104.50","2,112.70","1,867.00","","-6.26%"
"07/01/2015","2,103.80","2,067.00","2,132.80","2,044.00","","1.97%"
"06/01/2015","2,063.10","2,108.60","2,129.90","2,056.30","","-2.10%"
"05/01/2015","2,107.40","2,087.40","2,134.70","2,067.90","","1.05%"
"04/01/2015","2,085.50","2,067.60","2,125.90","2,048.40","","0.85%"
"03/01/2015","2,067.90","2,105.20","2,117.50","2,039.70","","-1.74%"
"02/01/2015","2,104.50","1,996.70","2,119.60","1,980.90","","5.49%"
"01/01/2015","1,995.00","2,058.90","2,072.40","1,988.10","","-3.10%"
"12/01/2014","2,058.90","2,065.80","2,093.60","1,972.60","","-0.42%"
"11/01/2014","2,067.60","2,018.20","2,075.80","2,001.00","","2.46%"
"10/01/2014","2,018.00","1,971.40","2,018.20","1,820.70","","2.32%"
"09/01/2014","1,972.30","2,004.10","2,019.30","1,964.00","","-1.55%"
"08/01/2014","2,003.40","1,929.80","2,005.00","1,904.80","","3.77%"
"07/01/2014","1,930.70","1,962.30","1,991.40","1,930.70","","-1.50%"
"06/01/2014","1,960.20","1,923.90","1,968.20","1,916.00","","1.90%"
"05/01/2014","1,923.60","1,884.40","1,924.00","1,859.80","","2.10%"
"04/01/2014","1,884.00","1,874.00","1,897.30","1,814.40","","0.62%"
"03/01/2014","1,872.30","1,857.70","1,884.00","1,834.40","","0.69%"
"02/01/2014","1,859.50","1,782.70","1,867.90","1,737.90","","4.31%"
"01/01/2014","1,782.60","1,845.90","1,850.80","1,770.50","","-3.56%"
"12/01/2013","1,848.40","1,806.50","1,849.40","1,768.00","","2.36%"
"11/01/2013","1,805.80","1,758.70","1,813.50","1,746.20","","2.81%"
"10/01/2013","1,756.50","1,682.40","1,775.20","1,646.50","","4.46%"
"09/01/2013","1,681.50","1,636.00","1,729.90","1,633.40","","2.97%"
"08/01/2013","1,633.00","1,689.40","1,709.70","1,627.50","","-3.13%"
"07/01/2013","1,685.70","1,609.80","1,698.80","1,604.60","","4.94%"
"06/01/2013","1,606.30","1,631.70","1,654.20","1,560.30","","-1.50%"
"05/01/2013","1,630.70","1,597.50","1,687.20","1,581.30","","2.07%"
"04/01/2013","1,597.60","1,569.20","1,597.60","1,536.00","","1.81%"
"03/01/2013","1,569.20","1,514.70","1,570.30","1,501.50","","3.60%"
"02/01/2013","1,514.70","1,498.10","1,530.90","1,485.00","","1.11%"
"01/01/2013","1,498.10","1,426.20","1,509.90","1,426.20","","5.04%"
"12/01/2012","1,426.20","1,416.30","1,448.00","1,398.10","","0.71%"
"11/01/2012","1,416.20","1,412.20","1,434.30","1,343.30","","0.28%"
"10/01/2012","1,412.20","1,440.90","1,471.00","1,403.30","","-1.98%"
"09/01/2012","1,440.70","1,406.50","1,474.50","1,396.60","","2.42%"
"08/01/2012","1,406.60","1,379.30","1,426.70","1,354.70","","1.98%"
"07/01/2012","1,379.30","1,362.30","1,391.70","1,325.40","","1.26%"
"06/01/2012","1,362.20","1,309.90","1,363.50","1,266.70","","3.96%"
"05/01/2012","1,310.30","1,397.90","1,415.30","1,292.00","","-6.27%"
"04/01/2012","1,397.90","1,408.50","1,422.40","1,357.40","","-0.75%"
"03/01/2012","1,408.50","1,365.90","1,419.20","1,340.00","","3.13%"
"02/01/2012","1,365.70","1,312.50","1,378.00","1,312.50","","4.06%"
"01/01/2012","1,312.40","1,258.90","1,333.50","1,258.90","","4.36%"
"12/01/2011","1,257.60","1,246.90","1,269.40","1,202.40","","0.85%"
"11/01/2011","1,247.00","1,251.00","1,277.50","1,158.70","","-0.50%"
"10/01/2011","1,253.30","1,131.20","1,292.70","1,074.80","","10.77%"
"09/01/2011","1,131.40","1,219.10","1,229.30","1,114.20","","-7.18%"
"08/01/2011","1,218.90","1,292.60","1,307.40","1,101.50","","-5.68%"
"07/01/2011","1,292.30","1,320.60","1,356.50","1,282.90","","-2.14%"
"06/01/2011","1,320.60","1,345.20","1,345.20","1,258.10","","-1.83%"
"05/01/2011","1,345.20","1,365.20","1,370.60","1,311.80","","-1.35%"
"04/01/2011","1,363.60","1,329.50","1,364.60","1,294.70","","2.85%"
"03/01/2011","1,325.80","1,328.60","1,332.30","1,249.00","","-0.11%"
"02/01/2011","1,327.20","1,289.10","1,344.10","1,289.10","","3.20%"
"01/01/2011","1,286.10","1,257.60","1,302.70","1,257.60","","2.27%"
"12/01/2010","1,257.60","1,186.60","1,262.60","1,186.60","","6.53%"
"11/01/2010","1,180.50","1,185.70","1,227.10","1,173.00","","-0.24%"
"10/01/2010","1,183.30","1,143.50","1,196.10","1,131.90","","3.69%"
"09/01/2010","1,141.20","1,049.70","1,157.20","1,049.70","","8.76%"
"08/01/2010","1,049.30","1,107.50","1,129.20","1,039.70","","-4.75%"
"07/01/2010","1,101.60","1,031.10","1,121.00","1,010.90","","6.88%"
"06/01/2010","1,030.70","1,087.30","1,131.20","1,028.30","","-5.39%"
"05/01/2010","1,089.40","1,188.60","1,205.10","1,040.80","","-8.20%"
"04/01/2010","1,186.70","1,171.20","1,219.80","1,170.70","","1.48%"
"03/01/2010","1,169.40","1,105.40","1,180.70","1,105.40","","5.88%"
"02/01/2010","1,104.50","1,073.90","1,112.40","1,044.50","","2.85%"
"01/01/2010","1,073.90","1,116.60","1,150.50","1,071.60","","-3.69%"
"12/01/2009","1,115.10","1,098.90","1,130.40","1,085.90","","1.78%"
"11/01/2009","1,095.60","1,036.20","1,113.70","1,029.40","","5.73%"
"10/01/2009","1,036.20","1,054.90","1,101.40","1,020.00","","-1.98%"
"09/01/2009","1,057.10","1,019.50","1,080.20","992.00","","3.58%"
"08/01/2009","1,020.60","990.20","1,039.50","978.50","","3.35%"
"07/01/2009","987.50","920.80","996.70","869.30","","7.42%"
"06/01/2009","919.30","923.30","956.20","888.90","","0.02%"
"05/01/2009","919.10","872.70","930.20","866.10","","5.30%"
"04/01/2009","872.80","793.60","888.70","783.30","","9.39%"
"03/01/2009","797.90","729.60","833.00","666.80","","8.54%"
"02/01/2009","735.10","823.10","875.00","734.50","","-10.99%"
"01/01/2009","825.90","903.00","943.90","804.30","","-8.56%"
"12/01/2008","903.20","888.60","918.90","815.70","","0.78%"
"11/01/2008","896.20","968.70","1,007.50","741.00","","-7.49%"
"10/01/2008","968.80","1,164.20","1,167.00","839.80","","-16.94%"
"09/01/2008","1,166.40","1,287.80","1,303.00","1,106.40","","-9.07%"
"08/01/2008","1,282.80","1,269.40","1,313.20","1,247.50","","1.22%"
"07/01/2008","1,267.40","1,276.70","1,292.20","1,200.40","","-0.98%"
"06/01/2008","1,280.00","1,399.60","1,404.00","1,272.00","","-8.60%"
"05/01/2008","1,400.40","1,386.00","1,440.20","1,373.10","","1.07%"
"04/01/2008","1,385.60","1,326.40","1,404.60","1,324.30","","4.76%"
"03/01/2008","1,322.70","1,330.50","1,359.70","1,257.00","","-0.59%"
"02/01/2008","1,330.60","1,378.60","1,396.00","1,316.80","","-3.47%"
"01/01/2008","1,378.50","1,468.00","1,471.80","1,270.00","","-6.12%"
"12/01/2007","1,468.40","1,479.60","1,523.60","1,435.70","","-0.86%"
"11/01/2007","1,481.10","1,545.80","1,545.80","1,406.10","","-4.41%"
"10/01/2007","1,549.40","1,527.30","1,576.10","1,489.60","","1.48%"
"09/01/2007","1,526.80","1,474.00","1,538.70","1,439.30","","3.58%"
"08/01/2007","1,474.00","1,455.20","1,503.90","1,370.60","","1.28%"
"07/01/2007","1,455.30","1,504.70","1,555.90","1,454.20","","-3.19%"
"06/01/2007","1,503.30","1,530.60","1,540.60","1,484.20","","-1.78%"
"05/01/2007","1,530.60","1,482.40","1,535.60","1,476.70","","3.25%"
"04/01/2007","1,482.40","1,420.80","1,498.00","1,416.40","","4.33%"
"03/01/2007","1,420.90","1,406.80","1,438.90","1,364.00","","1.00%"
"02/01/2007","1,406.80","1,437.90","1,461.60","1,389.40","","-2.18%"
"01/01/2007","1,438.20","1,418.00","1,441.60","1,404.00","","1.40%"
"12/01/2006","1,418.30","1,400.60","1,431.80","1,385.90","","1.26%"
"11/01/2006","1,400.60","1,377.80","1,407.90","1,361.00","","1.65%"
"10/01/2006","1,377.90","1,335.80","1,389.50","1,327.10","","3.15%"
"09/01/2006","1,335.80","1,303.80","1,340.30","1,290.90","","2.45%"
"08/01/2006","1,303.80","1,278.50","1,306.70","1,261.30","","2.12%"
"07/01/2006","1,276.70","1,270.10","1,280.40","1,224.50","","0.51%"
"06/01/2006","1,270.20","1,270.00","1,290.70","1,219.30","","0.01%"
"05/01/2006","1,270.10","1,310.60","1,326.70","1,245.30","","-3.09%"
"04/01/2006","1,310.60","1,302.90","1,318.20","1,280.70","","1.22%"
"03/01/2006","1,294.80","1,280.70","1,310.90","1,268.40","","1.10%"
"02/01/2006","1,280.70","1,280.10","1,297.60","1,253.60","","0.05%"
"01/01/2006","1,280.10","1,248.30","1,294.90","1,245.70","","2.55%"
"12/01/2005","1,248.30","1,249.50","1,275.80","1,246.60","","-0.10%"
"11/01/2005","1,249.50","1,207.00","1,270.60","1,201.10","","3.52%"
"10/01/2005","1,207.00","1,228.80","1,233.30","1,168.20","","-1.77%"
"09/01/2005","1,228.80","1,220.30","1,243.10","1,205.30","","0.70%"
"08/01/2005","1,220.30","1,234.20","1,245.90","1,201.10","","-1.13%"
"07/01/2005","1,234.20","1,191.30","1,245.20","1,183.50","","3.60%"
"06/01/2005","1,191.30","1,191.50","1,219.60","1,188.30","","-0.02%"
"05/01/2005","1,191.50","1,156.80","1,199.60","1,146.20","","3.00%"
"04/01/2005","1,156.80","1,180.60","1,191.90","1,136.20","","-2.02%"
"03/01/2005","1,180.60","1,203.60","1,229.10","1,163.70","","-1.91%"
"02/01/2005","1,203.60","1,181.30","1,212.40","1,181.00","","1.89%"
"01/01/2005","1,181.30","1,211.90","1,217.90","1,163.80","","-2.52%"
"12/01/2004","1,211.90","1,173.80","1,217.30","1,173.80","","3.25%"
"11/01/2004","1,173.80","1,130.20","1,188.50","1,127.50","","3.86%"
"10/01/2004","1,130.20","1,114.60","1,142.00","1,090.20","","1.40%"
"09/01/2004","1,114.60","1,104.20","1,131.50","1,099.10","","0.94%"
"08/01/2004","1,104.20","1,101.70","1,109.70","1,060.70","","0.23%"
"07/01/2004","1,101.70","1,140.80","1,140.80","1,078.80","","-3.43%"
"06/01/2004","1,140.80","1,120.70","1,146.30","1,113.30","","1.79%"
"05/01/2004","1,120.70","1,107.30","1,127.70","1,076.30","","1.21%"
"04/01/2004","1,107.30","1,126.20","1,150.60","1,107.20","","-1.68%"
"03/01/2004","1,126.20","1,144.90","1,163.20","1,087.10","","-1.63%"
"02/01/2004","1,144.90","1,131.10","1,159.00","1,124.40","","1.22%"
"01/01/2004","1,131.10","1,111.90","1,155.40","1,105.10","","1.73%"
"12/01/2003","1,111.90","1,058.20","1,112.60","1,053.40","","5.07%"
"11/01/2003","1,058.20","1,050.70","1,063.70","1,031.20","","0.71%"
"10/01/2003","1,050.70","996.00","1,053.80","996.00","","5.49%"
"09/01/2003","996.00","1,008.00","1,040.30","990.40","","-1.19%"
"08/01/2003","1,008.00","990.30","1,011.00","960.80","","1.79%"
"07/01/2003","990.30","974.50","1,015.40","962.10","","1.62%"
"06/01/2003","974.50","963.60","1,015.30","963.60","","1.13%"
"05/01/2003","963.60","916.90","965.40","902.80","","5.09%"
"04/01/2003","916.90","848.20","924.20","847.90","","8.10%"
"03/01/2003","848.20","841.10","895.90","788.90","","0.84%"
"02/01/2003","841.10","855.70","864.60","806.30","","-1.71%"
"01/01/2003","855.70","879.80","935.00","840.30","","-2.74%"
"12/01/2002","879.80","936.30","954.30","869.50","","-6.03%"
"11/01/2002","936.30","885.80","941.80","872.00","","5.70%"
"10/01/2002","885.80","815.30","907.40","768.60","","8.65%"
"09/01/2002","815.30","916.10","924.00","800.20","","-11.00%"
"08/01/2002","916.10","911.60","965.00","833.40","","0.49%"
"07/01/2002","911.60","989.80","994.50","775.70","","-7.90%"
"06/01/2002","989.80","1,067.10","1,070.70","952.90","","-7.24%"
"05/01/2002","1,067.10","1,076.90","1,106.60","1,049.00","","-0.91%"
"04/01/2002","1,076.90","1,146.00","1,147.80","1,063.50","","-6.14%"
"03/01/2002","1,147.40","1,108.70","1,173.90","1,108.70","","3.68%"
"02/01/2002","1,106.70","1,127.40","1,130.20","1,074.40","","-2.08%"
"01/01/2002","1,130.20","1,149.00","1,177.00","1,081.70","","-1.56%"
"12/01/2001","1,148.10","1,139.50","1,173.60","1,114.50","","0.75%"
"11/01/2001","1,139.50","1,063.10","1,163.40","1,054.30","","7.52%"
"10/01/2001","1,059.80","1,037.90","1,110.60","1,026.80","","1.82%"
"09/01/2001","1,040.90","1,133.60","1,155.40","944.80","","-8.18%"
"08/01/2001","1,133.60","1,211.20","1,226.30","1,124.90","","-6.41%"
"07/01/2001","1,211.20","1,224.40","1,239.80","1,165.50","","-1.08%"
"06/01/2001","1,224.40","1,255.80","1,286.60","1,203.00","","-2.50%"
"05/01/2001","1,255.80","1,249.50","1,315.90","1,232.00","","0.50%"
"04/01/2001","1,249.50","1,160.30","1,269.30","1,092.00","","7.69%"
"03/01/2001","1,160.30","1,239.90","1,267.40","1,081.20","","-6.42%"
"02/01/2001","1,239.90","1,366.00","1,376.40","1,215.40","","-9.23%"
"01/01/2001","1,366.00","1,320.30","1,383.40","1,274.60","","3.46%"
"12/01/2000","1,320.30","1,315.00","1,389.00","1,254.10","","0.40%"
"11/01/2000","1,315.00","1,429.40","1,438.50","1,294.90","","-8.00%"
"10/01/2000","1,429.40","1,436.50","1,454.80","1,305.80","","-0.49%"
"09/01/2000","1,436.50","1,517.70","1,530.00","1,419.50","","-5.35%"
"08/01/2000","1,517.70","1,430.80","1,525.30","1,426.00","","6.07%"
"07/01/2000","1,430.80","1,454.60","1,517.20","1,414.20","","-1.64%"
"06/01/2000","1,454.60","1,420.60","1,489.00","1,420.60","","2.39%"
"05/01/2000","1,420.60","1,452.40","1,481.40","1,361.20","","-2.19%"
"04/01/2000","1,452.40","1,498.60","1,527.10","1,339.40","","-3.08%"
"03/01/2000","1,498.60","1,366.40","1,553.10","1,346.50","","9.68%"
"02/01/2000","1,366.40","1,394.50","1,444.40","1,325.00","","-2.02%"
"01/01/2000","1,394.50","1,469.20","1,478.00","1,350.00","","-5.08%"
"12/01/1999","1,469.20","1,388.90","1,473.10","1,387.50","","5.78%"
"11/01/1999","1,388.90","1,362.90","1,425.30","1,346.40","","1.91%"
"10/01/1999","1,362.90","1,282.70","1,373.20","1,233.70","","6.25%"
"09/01/1999","1,282.70","1,320.40","1,361.30","1,256.30","","-2.86%"
"08/01/1999","1,320.40","1,328.70","1,382.80","1,267.70","","-0.62%"
"07/01/1999","1,328.70","1,372.70","1,420.30","1,328.50","","-3.21%"
"06/01/1999","1,372.70","1,301.80","1,372.90","1,277.50","","5.45%"
"05/01/1999","1,301.80","1,335.20","1,376.00","1,277.30","","-2.50%"
"04/01/1999","1,335.20","1,286.40","1,371.60","1,282.60","","3.79%"
"03/01/1999","1,286.40","1,238.30","1,323.80","1,216.00","","3.88%"
"02/01/1999","1,238.30","1,279.60","1,283.80","1,211.90","","-3.23%"
"01/01/1999","1,279.60","1,229.20","1,280.40","1,205.50","","4.10%"
"12/01/1998","1,229.20","1,163.60","1,244.90","1,136.90","","5.64%"
"11/01/1998","1,163.60","1,098.70","1,193.00","1,098.70","","5.91%"
"10/01/1998","1,098.70","1,017.00","1,103.80","923.30","","8.03%"
"09/01/1998","1,017.00","957.30","1,066.10","940.00","","6.24%"
"08/01/1998","957.30","1,120.70","1,121.80","957.30","","-14.58%"
"07/01/1998","1,120.70","1,133.80","1,190.60","1,114.30","","-1.16%"
"06/01/1998","1,133.80","1,090.80","1,145.20","1,074.70","","3.94%"
"05/01/1998","1,090.80","1,111.80","1,130.50","1,074.40","","-1.89%"
"04/01/1998","1,111.80","1,101.80","1,133.00","1,076.70","","0.91%"
"03/01/1998","1,101.80","1,049.30","1,113.10","1,030.90","","5.00%"
"02/01/1998","1,049.30","980.30","1,051.70","980.30","","7.04%"
"01/01/1998","980.30","970.40","992.60","912.80","","1.02%"
"12/01/1997","970.40","955.40","986.20","924.90","","1.57%"
"11/01/1997","955.40","914.60","964.50","900.60","","4.46%"
"10/01/1997","914.60","950.90","983.10","855.30","","-3.45%"
"09/01/1997","947.30","899.50","960.60","899.50","","5.31%"
"08/01/1997","899.50","954.30","964.20","893.30","","-5.74%"
"07/01/1997","954.30","885.10","957.70","884.50","","7.82%"
"06/01/1997","885.10","848.30","902.10","838.80","","4.34%"
"05/01/1997","848.30","801.30","851.90","793.20","","5.87%"
"04/01/1997","801.30","757.10","804.10","733.50","","5.84%"
"03/01/1997","757.10","790.80","814.90","756.10","","-4.26%"
"02/01/1997","790.80","786.20","817.70","773.40","","0.59%"
"01/01/1997","786.20","740.70","794.70","729.50","","6.14%"
"12/01/1996","740.70","757.00","761.80","716.70","","-2.15%"
"11/01/1996","757.00","705.30","762.10","701.30","","7.33%"
"10/01/1996","705.30","687.30","714.10","684.40","","2.62%"
"09/01/1996","687.30","652.00","690.90","644.00","","5.41%"
"08/01/1996","652.00","640.00","670.70","639.50","","1.88%"
"07/01/1996","640.00","670.60","675.90","605.90","","-4.56%"
"06/01/1996","670.60","669.10","680.30","658.80","","0.22%"
"05/01/1996","669.10","654.20","681.10","630.10","","2.28%"
"04/01/1996","654.20","645.50","656.70","624.10","","1.35%"
"03/01/1996","645.50","640.40","657.00","627.60","","0.80%"
"02/01/1996","640.40","636.00","664.20","633.70","","0.69%"
"01/01/1996","636.00","615.90","636.20","597.30","","3.26%"
"12/01/1995","615.90","605.40","622.90","605.00","","1.73%"
"11/01/1995","605.40","581.50","608.70","581.00","","4.11%"
"10/01/1995","581.50","584.40","590.70","571.50","","-0.50%"
"09/01/1995","584.40","561.90","587.60","561.00","","4.00%"
"08/01/1995","561.90","562.10","565.60","553.00","","-0.04%"
"07/01/1995","562.10","544.80","565.40","542.50","","3.18%"
"06/01/1995","544.80","533.40","551.10","526.00","","2.14%"
"05/01/1995","533.40","514.80","533.40","513.00","","3.63%"
"04/01/1995","514.70","500.70","515.30","500.20","","2.80%"
"03/01/1995","500.70","487.40","508.10","479.70","","2.73%"
"02/01/1995","487.40","470.40","489.20","469.30","","3.61%"
"01/01/1995","470.40","459.20","471.40","457.20","","2.42%"
"12/01/1994","459.30","453.60","462.70","442.90","","1.23%"
"11/01/1994","453.70","472.30","472.30","444.20","","-3.96%"
"10/01/1994","472.40","462.70","474.70","449.30","","2.10%"
"09/01/1994","462.70","475.50","475.50","458.50","","-2.69%"
"08/01/1994","475.50","458.30","477.60","456.10","","3.75%"
"07/01/1994","458.30","444.30","459.30","443.60","","3.15%"
"06/01/1994","444.30","456.50","463.20","439.80","","-2.67%"
"05/01/1994","456.50","450.90","457.80","440.80","","1.24%"
"04/01/1994","450.90","445.70","452.80","435.90","","1.14%"
"03/01/1994","445.80","467.20","471.10","436.20","","-4.56%"
"02/01/1994","467.10","481.60","482.20","464.30","","-3.01%"
"01/01/1994","481.60","466.50","482.90","464.40","","3.26%"
"12/01/1993","466.40","461.90","471.30","461.40","","1.00%"
"11/01/1993","461.80","467.80","469.10","454.40","","-1.28%"
"10/01/1993","467.80","458.90","471.10","456.40","","1.94%"
"09/01/1993","458.90","463.60","463.80","449.60","","-1.01%"
"08/01/1993","463.60","448.10","463.60","446.90","","3.46%"
